date,total_revenue
2019-06-01,2523.3293595
2019-06-02,65.8483265
2019-06-03,638.9719814
2019-06-04,45796.4466794
2019-06-05,42551.6896707
2019-06-06,14038.9004202
2019-06-07,7238.7190891
2019-06-08,37.927131599999996
2019-06-10,22744.958317
2019-06-11,30429.8301191
2019-06-12,3959.8531296
2019-06-13,20546.3299819
2019-06-14,8202.4326393
2019-06-15,130.4222863
2019-06-16,92.32825700000001
2019-06-17,47572.1866759
2019-06-18,12555.1552985
2019-06-19,13602.1710002
2019-06-20,17725.7460473
2019-06-21,6924.2371585
2019-06-22,9531.8239281
2019-06-23,13113.3529747
2019-06-24,13464.3800907
2019-06-25,11397.4732017
2019-06-26,12869.0188661
2019-06-27,12773.636638
2019-06-28,10341.7589234
2019-06-29,9808.6166628
2019-06-30,11883.5294542
2019-07-01,18472.571197
2019-07-02,18953.021117199998
2019-07-03,18596.9552289
2019-07-04,17984.0522877
2019-07-05,19923.7971347
2019-07-06,12585.8411298
2019-07-07,22093.1249867
2019-07-08,30925.5827644
2019-07-09,22811.8246526
2019-07-10,25733.2718323
2019-07-11,25850.3834052
2019-07-12,21340.9012461
2019-07-13,16239.1133685
2019-07-14,20616.7687812
2019-07-15,25336.7238591
2019-07-16,24296.9025019
2019-07-17,23577.820062
2019-07-18,21469.0755463
2019-07-19,19403.674216299998
2019-07-20,12281.7434176
2019-07-21,20136.1134487
2019-07-22,22040.2097951
2019-07-23,23032.504321200002
2019-07-24,21692.0752458
2019-07-25,22527.5364986
2019-07-26,19006.377738
2019-07-27,15522.0896067
2019-07-28,21733.7760934
2019-07-29,29238.7095876
2019-07-30,31231.3401367
2019-07-31,24850.8401634
2019-08-01,24659.2280892
2019-08-02,26749.6474288
2019-08-03,21793.4703427
2019-08-04,25135.3516703
2019-08-05,37093.6384348
2019-08-06,30300.3815563
2019-08-07,34664.905262
2019-08-08,31771.3562227
2019-08-09,29564.2776496
2019-08-10,24425.1093782
2019-08-11,29747.9552453
2019-08-12,41456.9741077
2019-08-13,35607.6340347
2019-08-14,35015.2942313
2019-08-15,29381.4051406
2019-08-16,27029.768494
2019-08-17,21409.6085991
2019-08-18,24098.6172702
2019-08-19,32378.6424627
2019-08-20,27297.1718046
2019-08-21,37572.401704
2019-08-22,29114.024845
2019-08-23,22919.892117
2019-08-24,16528.6484644
2019-08-25,26274.0401304
2019-08-26,32666.343325
2019-08-27,31002.4127822
2019-08-28,30957.2442762
2019-08-29,40505.6161317
2019-08-30,34851.4283242
2019-08-31,28623.7176594
2019-09-01,40997.9203247
2019-09-02,48501.3664509
2019-09-03,41538.0713047
2019-09-04,37650.747638
2019-09-05,29861.16983
2019-09-06,30557.8716055
2019-09-07,21661.0854972
2019-09-08,33798.0406375
2019-09-09,35832.3660045
2019-09-10,35380.7783251
2019-09-11,30352.9844385
2019-09-12,25062.2774804
2019-09-13,22666.0565174
2019-09-14,20483.3788343
2019-09-15,25316.6995467
2019-09-16,31394.0934398
2019-09-17,26222.192358
2019-09-18,25715.2193218
2019-09-19,23960.7286705
2019-09-20,17617.224844200002
2019-09-21,18237.7548392
2019-09-22,21287.7568721
2019-09-23,27580.3238684
2019-09-24,21592.8194178
2019-09-25,23380.5344933
2019-09-26,19672.1261018
2019-09-27,18611.700561
2019-09-28,14722.8122663
2019-09-29,18074.7885832
2019-09-30,22505.7360574
2019-10-01,20641.456906
2019-10-02,20869.559532799998
2019-10-03,23522.2009089
2019-10-04,20800.1120143
2019-10-05,21999.0036311
2019-10-06,28238.5004622
2019-10-07,29718.9603908
2019-10-08,28525.125172
2019-10-09,27453.9043402
2019-10-10,24414.4257547
2019-10-11,23074.3355746
2019-10-12,21174.1913042
