date,total_revenue
2019-06-04,293.2552836
2019-06-05,81.3653297
2019-06-06,82.6449612
2019-06-07,46.6973382
2019-06-11,85.22979839999999
2019-06-13,47.8245949
2019-06-17,219.73695329999998
2019-06-18,39.4965116
2019-06-20,20.6172965
2019-06-24,44.1732558
2019-06-25,20.6612403
2019-06-28,39.4965116
2019-07-01,33.1573992
2019-07-02,23.0406356
2019-07-03,96.746635
2019-07-05,103.1457364
2019-07-06,64.4512483
2019-07-07,128.2337545
2019-07-08,52.1449631
2019-07-09,70.6172169
2019-07-10,49.171190100000004
2019-07-11,14.4705013
2019-07-13,29.2854746
2019-07-15,55.8447211
2019-07-16,32.8079747
2019-07-17,49.5868216
2019-07-18,39.5926863
2019-07-20,67.3830444
2019-07-21,16.1445736
2019-07-22,31.1440092
2019-07-23,63.8771848
2019-07-24,28.8294573
2019-07-26,74.4950231
2019-07-27,47.4085271
2019-07-28,24.7934108
2019-07-29,94.47015490000001
2019-07-30,25.0243449
2019-08-02,79.6724959
2019-08-03,14.5258026
2019-08-04,109.6858311
2019-08-05,41.9395329
2019-08-06,192.6148816
2019-08-07,174.2082748
2019-08-08,27.2279069
2019-08-09,90.35496479999999
2019-08-10,152.0342556
2019-08-11,158.7900596
2019-08-12,163.2906477
2019-08-13,132.3421588
2019-08-14,186.1749292
2019-08-15,204.0335039
2019-08-16,136.27052700000002
2019-08-17,78.05700110000001
2019-08-18,88.7427906
2019-08-19,145.6441524
2019-08-20,21.5336566
2019-08-21,80.658527
2019-08-22,236.68412179999999
2019-08-23,160.40072750000002
2019-08-24,57.3341631
2019-08-25,334.2428933
2019-08-26,221.7851823
2019-08-27,121.9965153
2019-08-28,45.6147286
2019-08-29,109.2125037
2019-08-30,114.7118798
2019-08-31,251.73502100000002
2019-09-01,182.67533889999999
2019-09-02,245.9883466
2019-09-03,50.5741395
2019-09-04,28.9255813
2019-09-05,23.4866651
2019-09-06,46.2627325
2019-09-07,58.2356588
2019-09-08,104.642027
2019-09-09,212.2974382
2019-09-10,47.9852712
2019-09-11,73.4693672
2019-09-12,122.4266757
2019-09-13,24.7021457
2019-09-14,24.7112007
2019-09-15,86.139344
2019-09-16,166.3322393
2019-09-17,82.3362177
2019-09-18,50.470131699999996
2019-09-20,210.1669019
2019-09-21,108.7129146
2019-09-22,47.9744495
2019-09-23,56.1213178
2019-09-25,23.0635658
2019-09-26,107.1091904
2019-09-27,49.5723641
2019-09-30,56.3651161
2019-10-01,29.1178294
2019-10-03,47.6027208
2019-10-07,64.5468681
2019-10-08,54.4236434
2019-10-09,173.2614217
2019-10-10,60.9335704
2019-10-11,129.64932720000002
2019-10-12,106.9828407
2019-10-13,45.3118026
2019-10-14,44.8139534
2019-10-16,29.5421139
2019-10-17,29.1178294
2019-10-21,56.2174418
2019-10-24,112.4348836
2019-10-25,51.4615307
2019-10-27,56.2174418
2019-10-29,23.0635658
2019-10-30,46.7002674
2019-10-31,28.8294573
2019-11-01,28.9255813
2019-11-02,81.9229809
2019-11-04,27.7104767
2019-11-05,80.5063576
2019-11-06,50.1113287
2019-11-10,66.1476743
2019-11-11,84.5733486
2019-11-12,163.9600004
2019-11-13,163.3352712
2019-11-14,194.2453159
2019-11-15,436.2299768
2019-11-16,97.1957362
2019-11-17,29.0798992
2019-11-18,84.3148527
2019-11-19,175.68551300000001
2019-11-20,20.6612403
2019-11-21,112.0503874
2019-11-22,196.7656837
2019-11-23,103.6526937
2019-11-24,68.3848164
2019-11-25,62.113665499999996
2019-11-26,77.4785052
2019-11-27,111.1587024
2019-11-28,76.0472905
2019-11-29,331.09554760000003
2019-11-30,133.2190059
2019-12-01,183.15032100000002
2019-12-02,417.2662629
2019-12-03,80.0837199
2019-12-04,189.92793260000002
2019-12-05,67.5027144
2019-12-06,133.3162479
2019-12-07,54.655923
2019-12-08,148.472868
2019-12-09,137.6059079
2019-12-10,161.9971187
2019-12-11,64.15875729999999
2019-12-12,109.1386742
2019-12-13,59.7609902
2019-12-14,258.4461981
2019-12-15,302.0686108
2019-12-16,162.7189633
2019-12-17,86.6510764
2019-12-19,52.73654090000001
2019-12-21,46.0095999
2019-12-22,22.8073643
2019-12-25,61.846705299999996
2019-12-29,36.4722446
2019-12-30,21.622093
2020-01-04,43.244186
2020-01-06,22.4228682
2020-01-08,20.4943023
2020-01-09,40.4427828
2020-01-11,55.0952813
2020-01-12,59.2274671
2020-01-13,41.0890968
2020-01-14,58.7716674
2020-01-15,21.8595
2020-01-16,40.014112299999994
2020-01-19,77.8808167
2020-01-22,20.5002248
2020-01-23,24.5050387
2020-01-24,16.6569767
2020-01-25,17.715766
2020-01-26,80.2291937
2020-01-28,33.0581394
2020-01-30,71.6757769
2020-02-03,69.1589147
2020-02-04,35.2896166
