date,total_revenue
2019-06-01,1743.3197643
2019-06-03,554.9697672
2019-06-04,12318.4763251
2019-06-05,24104.4584692
2019-06-06,5252.2340954
2019-06-07,3384.7534805
2019-06-10,9943.2488184
2019-06-11,13854.7747786
2019-06-12,1182.3957337
2019-06-13,5937.2193656
2019-06-14,4973.7375876
2019-06-17,18004.0286378
2019-06-18,5366.9406854
2019-06-19,4671.3465022
2019-06-20,7011.0220786
2019-06-21,3799.8992168
2019-06-22,4557.7309987
2019-06-23,7029.4492111
2019-06-24,7929.3829283
2019-06-25,6316.1375791
2019-06-26,5191.7856468
2019-06-27,6043.8933988
2019-06-28,5013.3654933
2019-06-29,3736.4061951
2019-06-30,5153.2476639999995
2019-07-01,8055.1705243
2019-07-02,7138.586805
2019-07-03,7628.560833
2019-07-04,6756.7829255
2019-07-05,5366.4639396
2019-07-06,4786.3457245
2019-07-07,9928.4216803
2019-07-08,15528.5329123
2019-07-09,12104.3778832
2019-07-10,10054.5937746
2019-07-11,11084.9278812
2019-07-12,8143.002304
2019-07-13,8661.2003661
2019-07-14,9189.5511401
2019-07-15,15326.7860155
2019-07-16,12417.8817568
2019-07-17,11262.8445527
2019-07-18,10890.6166418
2019-07-19,8186.3441689
2019-07-20,3867.0011555
2019-07-21,7139.4763411
2019-07-22,11149.1298248
2019-07-23,13184.1418327
2019-07-24,10950.0077294
2019-07-25,10632.8476564
2019-07-26,8264.0860327
2019-07-27,6845.2902969
2019-07-28,10212.6740098
2019-07-29,15216.1402838
2019-07-30,15198.8488073
2019-07-31,16181.549967500001
2019-08-01,11238.3995893
2019-08-02,9658.9317632
2019-08-03,6956.2554128
2019-08-04,9684.9348593
2019-08-05,15930.3178002
2019-08-06,15219.8871799
2019-08-07,16261.0573352
2019-08-08,12998.4790439
2019-08-09,11689.168194
2019-08-10,11696.3104435
2019-08-11,11874.0953257
2019-08-12,18257.3414356
2019-08-13,17325.1922122
2019-08-14,14930.8236151
2019-08-15,13565.7484229
