date,total_revenue
2019-06-01,569.7951985
2019-06-03,181.0392106
2019-06-06,66.5408717
2019-06-07,18.8173332
2019-06-10,48.2886666
2019-06-11,5828.3267802
2019-06-12,2023.1649429
2019-06-13,4756.8047726
2019-06-14,759.3194924
2019-06-15,130.6697674
2019-06-16,24.0848139
2019-06-17,12949.7006097
2019-06-18,3360.2879964
2019-06-19,4966.6822908
2019-06-20,5697.4184797
2019-06-21,1463.9422822
2019-06-22,2474.5414276
2019-06-23,3512.788696
2019-06-24,3071.0856813
2019-06-25,3492.7627848
2019-06-26,3730.7724644
2019-06-27,4496.3541048
2019-06-28,1696.0807221
2019-06-29,2585.4191073
2019-06-30,3155.6928404
2019-07-01,4571.6380502
2019-07-02,5138.9703305
2019-07-03,5055.0632542
2019-07-04,4723.7178879
2019-07-05,4971.7538107
2019-07-06,3541.4589791
2019-07-07,6383.2385724
2019-07-08,9811.3047733
2019-07-09,4814.1028312
2019-07-10,6877.7635139
2019-07-11,7741.6765262
2019-07-12,6230.0736191
2019-07-13,3495.7130176
2019-07-14,6483.286001
2019-07-15,8228.1669277
2019-07-16,8688.5312897
2019-07-17,5582.4475471
2019-07-18,4237.1213483
2019-07-19,4924.269578
2019-07-20,3383.7322792
2019-07-21,5510.0564906
2019-07-22,6552.5400148
2019-07-23,6631.2415423
2019-07-24,6849.8323318
2019-07-25,6769.7333647
2019-07-26,5391.0802098
2019-07-27,4748.5492426
2019-07-28,5921.3895965
2019-07-29,7804.8556995
2019-07-30,12863.2478473
2019-07-31,7746.6877191
2019-08-01,7218.2574451
2019-08-02,7640.5199233
2019-08-03,6611.4787463
2019-08-04,7705.7522468
2019-08-05,11157.4433569
2019-08-06,9796.2083283
2019-08-07,8724.2149577
2019-08-08,8492.2754465
2019-08-09,7104.0254275
2019-08-10,5639.8503384
2019-08-11,8094.5613363
2019-08-12,13060.0684686
2019-08-13,11956.706982900001
2019-08-14,9966.2752139
2019-08-15,6930.0866973
2019-08-16,7982.8866063
2019-08-17,5448.2491165
2019-08-18,7045.2754350000005
2019-08-19,10123.700120900001
2019-08-20,7512.2120524
2019-08-21,7004.1823283
2019-08-22,7642.2086561
2019-08-23,6915.2471576
2019-08-24,3707.2239825
2019-08-25,7823.5422368
2019-08-26,8148.9002579
2019-08-27,8738.6615988
2019-08-28,8537.4607428
2019-08-29,7411.384314
2019-08-30,5101.0766767000005
2019-08-31,5732.0765644
2019-09-01,9488.9580379
2019-09-02,8864.9288568
2019-09-03,10261.2959809
2019-09-04,8274.0800377
2019-09-05,4926.5342212
2019-09-06,5054.5366597
2019-09-07,4494.0783522
2019-09-08,8265.948294
2019-09-09,8858.8615444
2019-09-10,8005.9105487
2019-09-11,5987.2863299
2019-09-12,5726.6212678
2019-09-13,4819.8379464
2019-09-14,3278.9290989
2019-09-15,4471.3052014
2019-09-16,6211.8858092
